time,Latitude,Longitude,altitude,PM-2.5,Temp.
2020-08-30 07:08:12,26.915763899999998,75.8006155,433.42,32,33
2020-08-30 07:08:13,26.9157538,75.8006068,433.3,29,33
2020-08-30 07:08:14,26.915741999999998,75.8005965,433.44,27,33
2020-08-30 07:08:16,26.9157273,75.8005757,433.67,26,33
2020-08-30 07:08:17,26.915722499999998,75.80056390000001,433.85,30,33
2020-08-30 07:08:18,26.915718199999997,75.8005504,431.3,24,33
2020-08-30 07:08:19,26.915701300000002,75.8005328,431.48,34,33
2020-08-30 07:08:20,26.915683500000004,75.800514,431.85,40,33
2020-08-30 07:08:22,26.9156604,75.8004666,431.74,29,33
2020-08-30 07:08:23,26.915648200000003,75.8004411,431.82,30,33
2020-08-30 07:08:24,26.915636199999998,75.80041109999999,432.02,33,34
2020-08-30 07:08:25,26.9156304,75.80039609999999,432.04,24,34
2020-08-30 07:08:26,26.9156224,75.80035699999999,432.16,27,34
2020-08-30 07:08:28,26.9156185,75.8003104,432.53,23,34
2020-08-30 07:08:29,26.915618199999997,75.8002647,432.71,24,34
2020-08-30 07:08:30,26.915621999999995,75.80023,432.71,28,34
2020-08-30 07:08:31,26.9156284,75.80019490000001,432.58,18,34
2020-08-30 07:08:32,26.915637699999998,75.800161,432.72,26,34
2020-08-30 07:08:34,26.915655100000002,75.8000957,432.92,20,34
2020-08-30 07:08:35,26.9156717,75.80005009999999,433.14,25,34
2020-08-30 07:08:36,26.915693100000006,75.7999991,433.57,17,34
2020-08-30 07:08:37,26.915715399999996,75.7999367,434.09,20,34
2020-08-30 07:08:39,26.915727899999997,75.79983670000001,434.17,16,34
2020-08-30 07:08:40,26.915730800000002,75.7997975,434.36,17,34
2020-08-30 07:08:41,26.915730199999995,75.7997734,434.51,14,34
2020-08-30 07:08:42,26.9157372,75.7996946,423.45,14,34
2020-08-30 07:08:43,26.915737800000002,75.79966999999999,423.59,19,34
2020-08-30 07:08:45,26.9157506,75.79954140000001,424.03,20,34
2020-08-30 07:08:46,26.915750199999998,75.7994905,424.29,16,34
2020-08-30 07:08:47,26.915747999999997,75.79943709999999,424.53,17,34
2020-08-30 07:08:48,26.9157438,75.79938709999999,424.69,33,34
2020-08-30 07:08:49,26.9157553,75.7993137,425.11,43,34
2020-08-30 07:08:51,26.9157752,75.7992102,424.97,29,34
2020-08-30 07:08:52,26.9157723,75.7991401,423.84,28,34
2020-08-30 07:08:53,26.915767600000002,75.799079,424.14,27,34
2020-08-30 07:08:54,26.9157685,75.79902109999999,424.49,32,34
2020-08-30 07:08:55,26.915775800000002,75.7989662,424.62,32,34
2020-08-30 07:08:57,26.915794199999997,75.7988608,424.61,26,34
2020-08-30 07:08:58,26.9158001,75.798795,425.32,31,34
2020-08-30 07:08:59,26.9158071,75.7987394,425.08,35,34
2020-08-30 07:09:00,26.9158147,75.79868420000001,425.02,33,34
2020-08-30 07:09:02,26.9158283,75.7985699,425.22,23,34
2020-08-30 07:09:03,26.915830699999997,75.798516,425.39,22,34
2020-08-30 07:09:04,26.91583,75.79846479999999,425.54,31,34
2020-08-30 07:09:05,26.9158316,75.7983996,425.91,23,34
2020-08-30 07:09:06,26.915829700000003,75.79836850000001,426.12,23,34
2020-08-30 07:09:08,26.915830699999997,75.79825840000001,426.28,23,34
2020-08-30 07:09:09,26.915834000000004,75.7982089,425.95,26,34
2020-08-30 07:09:10,26.9158339,75.79818859999999,425.89,26,34
2020-08-30 07:09:11,26.9158341,75.7981463,425.71,41,34
2020-08-30 07:09:12,26.9158462,75.7981115,425.33,30,34
2020-08-30 07:09:14,26.9158317,75.79799140000002,425.53,22,34
2020-08-30 07:09:15,26.915818199999997,75.7979564,425.16,32,34
2020-08-30 07:09:16,26.9157897,75.79787259999999,425.42,32,34
2020-08-30 07:09:17,26.9157532,75.7977911,425.51,23,34
2020-08-30 07:09:18,26.9157076,75.7976851,425.58,23,34
2020-08-30 07:09:20,26.915665999999998,75.7975203,425.95,25,34
2020-08-30 07:09:21,26.915613,75.7973857,426.31,21,34
2020-08-30 07:09:22,26.9155923,75.7973312,426.25,35,34
2020-08-30 07:09:23,26.915546799999998,75.79721490000001,426.13,26,34
2020-08-30 07:09:25,26.915473,75.7969632,426.39,18,34
2020-08-30 07:09:26,26.9154289,75.7968209,426.56,30,34
2020-08-30 07:09:27,26.9154077,75.7967503,426.63,27,34
2020-08-30 07:09:28,26.915357300000004,75.79657399999999,425.84,37,34
2020-08-30 07:09:29,26.9153185,75.79643399999999,425.9,23,34
2020-08-30 07:09:31,26.9152436,75.79616440000001,425.35,26,34
2020-08-30 07:09:32,26.915202500000003,75.7960319,425.51,18,34
2020-08-30 07:09:33,26.915179300000002,75.7959676,425.62,17,34
2020-08-30 07:09:34,26.9151326,75.7958062,425.45,69,33
2020-08-30 07:09:35,26.9150999,75.7957043,425.23,22,33
2020-08-30 07:09:37,26.9150321,75.7955397,424.7,26,33
2020-08-30 07:09:38,26.915021600000003,75.795505,424.48,37,33
2020-08-30 07:09:39,26.9150162,75.7954204,424.81,26,33
2020-08-30 07:09:40,26.915023600000005,75.79535859999999,424.68,24,33
2020-08-30 07:09:41,26.9150451,75.7953021,424.27,19,33
2020-08-30 07:09:43,26.9151268,75.79520579999999,424.13,25,33
2020-08-30 07:09:44,26.9151696,75.79517840000001,422.17,28,33
2020-08-30 07:09:45,26.915237199999996,75.7951471,422.39,18,33
2020-08-30 07:09:46,26.915326300000004,75.79512120000001,422.59,22,33
2020-08-30 07:09:47,26.9153696,75.7951088,422.78,15,33
2020-08-30 07:09:49,26.915540399999998,75.7950914,424.08,12,33
2020-08-30 07:09:50,26.9156602,75.7950923,425.14,13,33
2020-08-30 07:09:51,26.9157768,75.7950944,425.47,10,33
2020-08-30 07:09:52,26.915836699999996,75.7950941,425.68,8,33
2020-08-30 07:09:54,26.916068900000003,75.7950865,427.02,9,33
2020-08-30 07:09:55,26.916175300000003,75.7950846,428.91,13,33
2020-08-30 07:09:56,26.9163228,75.79507840000001,428.48,11,33
2020-08-30 07:09:57,26.916374800000003,75.795076,428.54,13,33
2020-08-30 07:09:58,26.9165158,75.7950725,429.29,17,33
2020-08-30 07:10:00,26.9167088,75.7950684,430.14,14,33
2020-08-30 07:10:01,26.9168175,75.7950622,431.42,10,33
2020-08-30 07:10:02,26.9169204,75.7950595,431.28,14,33
2020-08-30 07:10:03,26.9170532,75.79506690000001,431.35,7,33
2020-08-30 07:10:04,26.917147200000002,75.7950694,431.51,7,33
2020-08-30 07:10:06,26.917338800000003,75.7950702,431.29,8,33
2020-08-30 07:10:07,26.917429300000002,75.7950613,431.44,14,33
2020-08-30 07:10:08,26.917516,75.7950457,431.44,12,33
2020-08-30 07:10:09,26.917593100000005,75.795029,431.23,19,33
2020-08-30 07:10:10,26.917662,75.7950166,431.01,22,33
2020-08-30 07:10:12,26.917758199999998,75.7950065,431.06,24,33
2020-08-30 07:10:13,26.9178605,75.7950151,430.91,17,33
2020-08-30 07:10:14,26.9179336,75.7950359,430.87,11,33
2020-08-30 07:10:15,26.918018300000004,75.7950655,430.9,19,33
2020-08-30 07:10:17,26.918195,75.79512629999999,430.71,18,33
2020-08-30 07:10:18,26.918250399999994,75.7951434,427.61,12,33
2020-08-30 07:10:19,26.9183793,75.7951851,427.06,11,33
2020-08-30 07:10:20,26.918463199999998,75.7952223,426.68,10,33
2020-08-30 07:10:21,26.9185055,75.7952427,426.44,11,33
2020-08-30 07:10:23,26.9186787,75.79532890000002,425.11,7,33
2020-08-30 07:10:24,26.918744099999998,75.7953641,423.46,16,33
2020-08-30 07:10:25,26.918836100000004,75.79540440000001,423.67,15,33
2020-08-30 07:10:26,26.918937,75.7954421,423.51,11,33
2020-08-30 07:10:27,26.9190658,75.7954978,423.76,9,33
2020-08-30 07:10:29,26.919255699999997,75.7955796,423.7,16,33
2020-08-30 07:10:30,26.9193394,75.79561679999999,422.42,16,33
2020-08-30 07:10:31,26.919409299999998,75.7956412,421.93,20,33
2020-08-30 07:10:32,26.919461100000003,75.7956592,421.25,23,33
2020-08-30 07:10:33,26.9195267,75.7956626,420.29,30,33
2020-08-30 07:10:35,26.919623100000003,75.79563370000001,415.61,34,33
2020-08-30 07:10:36,26.9196619,75.7956224,415.42,27,33
2020-08-30 07:10:37,26.919698200000003,75.79561,415.64,29,33
2020-08-30 07:10:38,26.9197303,75.79558309999999,415.53,29,33
2020-08-30 07:10:40,26.919800800000004,75.7954755,415.5,20,33
2020-08-30 07:10:41,26.919834899999998,75.7954022,423.34,24,33
2020-08-30 07:10:42,26.919863399999997,75.79532950000001,423.31,13,33
2020-08-30 07:10:43,26.919878000000004,75.7952926,423.19,13,33
2020-08-30 07:10:44,26.9199261,75.7951763,423.04,13,33
2020-08-30 07:10:46,26.920003,75.79494890000001,423.27,14,33
2020-08-30 07:10:47,26.920034499999996,75.79483809999999,426.92,13,33
2020-08-30 07:10:48,26.920060600000003,75.7947405,426.76,14,33
2020-08-30 07:10:49,26.920095899999996,75.7946069,426.64,22,33
2020-08-30 07:10:50,26.9201216,75.7945098,426.5,18,33
2020-08-30 07:10:52,26.9201771,75.79433759999999,425.69,18,33
2020-08-30 07:10:53,26.920212899999996,75.7942728,425.52,16,33
2020-08-30 07:10:54,26.920279200000003,75.794201,424.97,20,33
2020-08-30 07:10:55,26.920352100000002,75.794158,424.28,26,33
2020-08-30 07:10:56,26.920434000000004,75.7941297,424.1,19,33
2020-08-30 07:10:58,26.9206206,75.7940936,423.39,20,33
2020-08-30 07:10:59,26.920715500000004,75.79407950000001,423.34,21,33
2020-08-30 07:11:00,26.920814500000002,75.79406750000001,423.65,37,33
2020-08-30 07:11:01,26.9208946,75.79405909999998,423.99,26,33
2020-08-30 07:11:03,26.9210708,75.7940292,424.49,29,33
2020-08-30 07:11:04,26.921186499999997,75.794002,432.21,34,33
2020-08-30 07:11:05,26.921280600000003,75.7939814,432.56,20,33
2020-08-30 07:11:06,26.921391600000003,75.7939482,432.71,15,33
2020-08-30 07:11:07,26.9215032,75.79391290000001,432.97,35,33
2020-08-30 07:11:09,26.921725399999996,75.79386099999999,433.44,35,33
2020-08-30 07:11:10,26.921876300000005,75.7938295,430.55,29,33
2020-08-30 07:11:11,26.9219886,75.793807,430.65,30,33
2020-08-30 07:11:12,26.9221419,75.79377629999999,430.65,36,33
2020-08-30 07:11:13,26.922264600000002,75.7937483,430.89,33,33
2020-08-30 07:11:15,26.922508500000003,75.7936933,428.71,60,33
2020-08-30 07:11:16,26.9226619,75.7936611,428.81,46,33
2020-08-30 07:11:17,26.9227913,75.7936348,428.76,45,33
2020-08-30 07:11:18,26.9229106,75.7936099,428.85,35,32
2020-08-30 07:11:19,26.9230761,75.7935768,429.05,40,32
2020-08-30 07:11:21,26.923308600000002,75.7935245,428.01,38,32
2020-08-30 07:11:22,26.9234434,75.7934911,428.04,41,32
2020-08-30 07:11:23,26.9235392,75.79346729999999,427.91,34,32
2020-08-30 07:11:24,26.9236579,75.7934421,427.9,38,32
2020-08-30 07:11:26,26.9238653,75.7934016,427.64,42,32
2020-08-30 07:11:27,26.923972600000003,75.793378,430.53,28,32
2020-08-30 07:11:28,26.924073200000002,75.793352,430.21,46,32
2020-08-30 07:11:29,26.924164899999997,75.79332740000001,429.8,48,32
2020-08-30 07:11:30,26.924241100000003,75.7933105,429.68,45,32
2020-08-30 07:11:32,26.9244255,75.79326429999999,429.88,62,32
2020-08-30 07:11:33,26.924516600000004,75.7932421,433.16,41,32
2020-08-30 07:11:34,26.924614799999997,75.7932213,433.0,43,32
2020-08-30 07:11:35,26.9247122,75.7931996,433.07,45,32
2020-08-30 07:11:36,26.924828499999997,75.7931739,433.23,40,32
2020-08-30 07:11:38,26.924971799999998,75.7931315,432.76,81,32
2020-08-30 07:11:39,26.925016999999997,75.7931163,435.29,80,32
2020-08-30 07:11:40,26.9250516,75.7931115,435.04,71,32
2020-08-30 07:11:41,26.9250966,75.79310859999998,434.83,72,32
2020-08-30 07:11:42,26.925137699999997,75.79310459999999,434.65,73,32
2020-08-30 07:11:44,26.9252495,75.7930829,434.87,91,32
2020-08-30 07:11:45,26.9253239,75.79305500000001,435.38,109,32
2020-08-30 07:11:46,26.9253789,75.79302690000002,435.19,102,32
2020-08-30 07:11:47,26.9254298,75.7929895,435.04,72,32
2020-08-30 07:11:48,26.9254706,75.79294250000001,434.92,117,32
2020-08-30 07:11:50,26.925542600000004,75.7927828,434.78,97,32
2020-08-30 07:11:51,26.925579700000004,75.7926938,441.16,45,32
2020-08-30 07:11:52,26.9256149,75.7926025,440.94,30,32
2020-08-30 07:11:53,26.925633299999998,75.79253100000001,440.85,37,32
2020-08-30 07:11:55,26.925682399999996,75.79236709999999,440.31,95,32
2020-08-30 07:11:56,26.925720600000002,75.79231,440.06,97,32
2020-08-30 07:11:57,26.9257794,75.7922568,433.26,94,32
2020-08-30 07:11:59,26.925823699999995,75.7922397,433.23,144,32
2020-08-30 07:12:01,26.925931800000004,75.7922893,432.96,148,32
